ID,Wert,demand_std_GWh/y,Aenderung
00BD9DFFD3F84FC4A4E3A3251FF201D1,249152784.0,222591206.89200687,11.932895948077514
052EFA06127649DEAA9F5A43BA3EB7E6,165642944.0,140397460.39063445,17.98143893708893
07098258C4C1406EAC36AA354D918B3B,195925472.0,177344632.56026736,10.477249393729624
07934F4EE7EB4074AFFB9E57F8DBA878,177902048.0,162159576.00871247,9.708012550823222
08433A4A0FD8469EA123134585FF2C85,193477200.0,129145477.2720468,49.813376423889395
0B1E879ECBCD486BA8A9DF2F7DBDA669,212126368.0,142271939.95590517,49.099230716714096
1433A8E9B0C841AFA5C190386C51FDFB,530618944.0,400992330.40355814,32.32645708360203
1551DDFE239F4C1CA2F41B4CB13FE771,199611056.0,153962561.9095651,29.64908710550558
16D39EFAC27D4C05A14B4E960228B43C,191650208.0,166711115.4863498,14.959465924569503
1B890C1C705D40D2A3D991304D5A91FA,199760976.0,144658176.40499297,38.09172835190333
1E9C5534D14D44F4A17D4CDBCA4C96B1,213965440.0,192641810.0304881,11.069056071543946
2062186AF888483BAADF16AFC1024B6D,183851968.0,163395274.1999185,12.519758542742293
20F6A3D37F5C40BAA83BE1DCB84B70FD,250926688.0,228413694.36189917,9.856236378906072
252A130FA3124419ACF1865F6BFE0C60,321259904.0,233231145.51206365,37.74314030601163
2677E049677D4FDDA4FFE49F3B675476,184045104.0,89997266.25731255,104.50077169432441
2BDC80E6528D47E2AD8E43022A27EBD2,157327552.0,131069965.04472177,20.033260057953783
3096C38735044A03A2DD01FA7C0CDF69,199550352.0,189646324.56298617,5.222367193161429
31964E1727B44EB6AE185B0DDA0E8B6E,304459904.0,246635860.11979797,23.445108043945943
364471087E454AA4A29CBAAF9AEFEE30,210942528.0,145519922.23473594,44.95783447419101
36467505D1464455A81B8DAAECA422F7,132922624.0,115083229.64271566,15.501297984656883
3BD4288883394367AC4623C91019DB59,229304560.0,195002285.74800274,17.59070367837911
3CD3BC700A464E12ADE4C009D7A0F63D,222022192.0,177237207.8503731,25.26838731708932
3DCBB29F0EA94A85A0D104CB02DEE0C3,345535008.0,244118151.8855008,41.5441684000897
4196AC4A6138477FACA56D2F623DB60F,518430784.0,170798783.05348462,203.53306664817188
4219738588BB4330A4DDC95FABC4789C,89681576.0,76240006.58331451,17.630598447019604
442AD34D79A74C95A37DFDE3780FAB06,178227104.0,141786876.04676822,25.70070585461804
48A3B296A25540DAA894B59470AD1A96,229557968.0,176055360.50381774,30.38964979144845
499EEC9E20B5402EA9DC10E1B5226B69,201363760.0,175529301.6972604,14.718031720593808
4D956F1C891B4FF7A39A261C5DCB1C38,398380096.0,265086237.9909621,50.2832055783984
4E9325D3E36A495DA232F5B9E565D5FA,176589408.0,158748773.97178772,11.23828145682741
4F5CA39661FB4F8CAA8C980DE0CABFC7,173287568.0,150312941.10599127,15.28453021074776
52BCE5F77D7242BDA27AAB3B1964FF56,220701328.0,168321501.54011518,31.118915872670854
5741BB995D97484DA68768D78964C55B,188783360.0,125879068.21899131,49.97200302720255
5765D6AE760B4FDDA84BF9E546567668,259401680.0,229287512.71469936,13.133801718531208
5CCAC3A1774148C4A05581A2AD879D8D,574373952.0,193303478.27183136,197.13585970361666
5D7CF0BAB1C840BCA9492028E179C160,290506464.0,145588236.6771406,99.53979155900691
6185324158864EE6ABC5400B67BFC9CE,207980272.0,183826886.34155542,13.139201854056825
64A87F722EFC476BAFDCCB4149AA3FD3,184549776.0,162436039.38018605,13.613811752733106
65B912187CF042EAAF12D608B965B68B,419114048.0,115970807.05273326,261.39616395824856
660E743DD6514991A293A685DBD00A19,92941024.0,81320292.02281404,14.290076545625071
6706B80892964FB3AD980625F471E44B,215456880.0,134233763.15614626,60.508708788393015
6CE8A1FF80C540C6AF03033D36166EA5,229964224.0,161716107.83534977,42.20242317118875
6DE4C622675F4460A509C260F92E9DF1,292145440.0,202673704.61635375,44.145704818002706
6E15C927C8E44C99ABF87AEA681557AD,196735312.0,172444867.25790057,14.085919243842596
6F03BCBA2FB84CF0A93A97347EFECD70,194346976.0,130193943.17056324,49.274974908311805
71BF15D49C684AB1A5C88910A954306E,162206368.0,127738986.36452328,26.98266411565114
740BF716D12E42D4AAA43A4BC223DD52,320337120.0,233260099.1399401,37.33043978851249
78407ECFA8C44D4FAB0FB2ABCD4CD82F,239906000.0,209357823.41511628,14.591370929718048
7846F48C9D6744C1A3B5D58E3897074E,114613536.0,61845932.61002283,85.3210569605439
7A290BDBE38B4496AC6440DA7E10A80A,137012176.0,129272842.1907549,5.986821112685788
7C77E7C8D51142CFAAF87C310EB1548B,153068496.0,139214753.5958198,9.95134642438945
7C7BE9B1186146C8A2582F6F9EE40521,66503632.0,31637150.369607735,110.20740244635559
7D720B30DCCD4E7AAED28F7BF10AA72B,176269456.0,137990143.2110466,27.74061385704033
802BCFDBE6BA4444AB81EB62D498BA4C,209239568.0,183066100.2654527,14.297277156499636
8073757C9B2B42C9A241E2511B60C796,304996832.0,272460146.8360398,11.941814442146669
80E5A92F3773488FA82AA00FE02D2D2C,182092256.0,127681941.67427815,42.61394650821083
8349144D909048CAA59F7516919423D7,216118224.0,153337030.3167794,40.943269576514396
8394F97ED8184667AEC9222352374ED8,202582432.0,156090922.6833287,29.784889804893723
843C9EB6CD9F46F2AE45C964BA7A719B,371138016.0,236364351.12925676,57.01945501800385
876F92A6DCF44FA4A37CE6E826C3399C,145069296.0,109273795.54036304,32.75762526837002
8B5A9FF241B14D78AAF890EB5EE81ACE,196351104.0,178504401.76799482,9.997905964918914
8BD769DFAE0747FEA332FC80E4AF35B9,211650368.0,192948360.06470877,9.692752987907836
8BDAA126FC074647AA451FC8F20D2228,224382320.0,169379825.98595235,32.472871957377805
8C1029468B1843EAA25F702AA99CC915,132758888.0,100006423.8927915,32.750360259176624
9090A5C3B56C424BACF707971BEEF7C1,263880256.0,134798368.3039743,95.75923605020368
93A159D8C7DA4348ADC0F83821D97B94,311054784.0,185767029.26615137,67.44348296292496
962B95836BDA43F2A5FE046BEA440B3F,177412048.0,148968248.060205,19.093867525581373
96BEDB70FBC24255AC70A9D53DF6B95E,301926400.0,174921765.6169945,72.60653580475086
96C8EF02E0404C21A340DC7839352C55,354593824.0,226159552.1982415,56.78923156390877
970C08BBA0A44A6AADE1B588F18A8150,572097664.0,357122254.62788785,60.19658718723956
9868CE2E431C4815A4D89025F78E9AB3,227766416.0,192475518.355858,18.335265672018867
9BFE47320CC94B8AAEBBFA288B1BF240,353927584.0,110330915.22503012,220.78731811308904
